similarity,test_idx,train_idx,test_smiles,train_smiles
0.9090909361839294,1833,31807,[H:7][C:1]1([C:2]([C:3]([C:4]([C:5]1([H:14])[H:15])([H:13])[F:6])([H:11])[H:12])([H:9])[H:10])[H:8],[H:8][C:1]1([C:2]([C:3]([C:4]([C:5]([C:6]1([H:17])[H:18])([H:15])[H:16])([H:14])[F:7])([H:12])[H:13])([H:10])[H:11])[H:9]
0.9090909361839294,3257,38502,[H:12][C:2]1([C:3]2=[C:7]([O:6][N:5]=[C:4]2[C:9]([C:1]1([H:10])[H:11])([H:16])[H:17])[N:8]([H:14])[H:15])[H:13],[H:19][C:10]1([C:5]2=[C:6]([O:7][N:8]=[C:4]2[C:3]([C:2]([C:1]1([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[N:9]([H:17])[H:18])[H:20]
0.9090909361839294,449,25276,[H:19][C:6]1([C:5]([C:4]([C:8]([C:7]1([H:21])[H:22])([H:23])[O:9][H:24])([H:16])[C:3]([H:14])([H:15])[N:2]([H:13])[C:1]([H:10])([H:11])[H:12])([H:17])[H:18])[H:20],[H:20][C:6]1([C:7]([C:8]([C:9]([C:4]([C:5]1([H:18])[H:19])([H:17])[C:3]([H:15])([H:16])[N:2]([H:14])[C:1]([H:11])([H:12])[H:13])([H:26])[O:10][H:27])([H:24])[H:25])([H:22])[H:23])[H:21]
0.9090909361839294,5610,7782,[H:8][C:1]1([C:2]([C:3]([C:4]([C:5]([C:6]1([H:17])[H:18])([H:15])[H:16])([H:14])[S:7][H:19])([H:12])[H:13])([H:10])[H:11])[H:9],[H:7][C:1]1([C:2]([C:3]([C:4]([C:5]1([H:14])[H:15])([H:13])[S:6][H:16])([H:11])[H:12])([H:9])[H:10])[H:8]
0.9047619104385376,3645,4160,[H:19][C:6]1([C:5]([C:4]([N+:8]([C:7]1([H:21])[H:22])([H:23])[H:24])([H:16])[C:2]([C:1]([H:10])([H:11])[H:12])([C:3]([H:13])([H:14])[H:15])[O:9][H:25])([H:17])[H:18])[H:20],[H:20][C:6]1([C:7]([C:8]([N+:9]([C:4]([C:5]1([H:18])[H:19])([H:17])[C:2]([C:1]([H:11])([H:12])[H:13])([C:3]([H:14])([H:15])[H:16])[O:10][H:28])([H:26])[H:27])([H:24])[H:25])([H:22])[H:23])[H:21]
0.8999999761581421,2182,33920,[H:13][C:1]([H:14])([H:15])[c:2]1[c:3]([c:4]([c:5]([c:6]([c:7]1[F:8])[F:9])[F:10])[F:11])[F:12],[H:13][C:1]([H:14])([H:15])[c:2]1[c:3]([c:4]([c:5]([c:6]([c:7]1[F:8])[F:9])[C:10]([H:16])([H:17])[H:18])[F:11])[F:12]
0.8999999761581421,2559,18215,[H:13][C:1]1=[C:2]([N:3]2[C:4](=[N:5]1)[C:6]([C:7]([C:8]([C:9]2([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])([H:14])[H:15])[S:10](=[O:11])[O-:12],[H:12][C:1]1=[C:2]([N:3]2[C:4](=[N:5]1)[C:6]([C:7]([C:8]2([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])[S:9](=[O:10])[O-:11]
0.8999999761581421,659,38262,[H:8][C:1]1([C:2]([C:3]([C:4]2([C:5]1([H:14])[H:15])[C:6]([C:7]2([H:18])[H:19])([H:16])[H:17])([H:12])[H:13])([H:10])[H:11])[H:9],[H:9][C:1]1([C:2]([C:3]([C:4]2([C:5]([C:6]1([H:17])[H:18])([H:15])[H:16])[C:7]([C:8]2([H:21])[H:22])([H:19])[H:20])([H:13])[H:14])([H:11])[H:12])[H:10]
0.8947368264198303,2806,31455,[H:18][C:6]1([C:5]([C:4]([C:3]([C:8]([C:7]1([H:20])[H:21])([H:22])[O:9][H:23])([H:13])[O:2][C:1]([H:10])([H:11])[H:12])([H:14])[H:15])([H:16])[H:17])[H:19],[H:15][C:5]1([C:6]([C:7]([C:3]([C:4]1([H:13])[H:14])([H:12])[O:2][C:1]([H:9])([H:10])[H:11])([H:19])[O:8][H:20])([H:17])[H:18])[H:16]
0.8947368264198303,4207,32585,[H:26][C:9](=[O:10])[C:4]1([C:5]([C:6]([C:7]([C:8]1([H:24])[H:25])([H:22])[H:23])([H:20])[H:21])([H:18])[H:19])[N+:2]([H:14])([C:1]([H:11])([H:12])[H:13])[C:3]([H:15])([H:16])[H:17],[H:23][C:8](=[O:9])[C:4]1([C:5]([C:6]([C:7]1([H:21])[H:22])([H:19])[H:20])([H:17])[H:18])[N+:2]([H:13])([C:1]([H:10])([H:11])[H:12])[C:3]([H:14])([H:15])[H:16]
0.8947368264198303,300,1296,[H:16][C:5](=[O:6])[C:3]1([C:2]([C:1]([C:4]1([H:14])[H:15])([H:10])[H:11])([H:12])[H:13])[C:7]([H:17])([F:8])[F:9],[H:19][C:6](=[O:7])[C:4]1([C:5]([C:1]([C:2]([C:3]1([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])([H:17])[H:18])[C:8]([H:20])([F:9])[F:10]
0.8928571343421936,2886,5264,[H:14][C:2]1([C:3]2=[N:4][N:5]=[C:6]([N:7]2[C:8]([C:1]1([H:12])[H:13])([H:16])[H:17])[C:9]([H:18])([H:19])[C:10]([H:20])([H:21])[N+:11]([H:22])([H:23])[H:24])[H:15],[H:26][C:12]1([C:5]2=[N:6][N:7]=[C:8]([N:4]2[C:3]([C:2]([C:1]1([H:13])[H:14])([H:15])[H:16])([H:17])[H:18])[C:9]([H:19])([H:20])[C:10]([H:21])([H:22])[N+:11]([H:23])([H:24])[H:25])[H:27]
0.8928571343421936,6151,19419,[H:11][C:1]1=[N:5][N:4]2[C:3](=[C:2]1[C:9](=[O:10])[H:18])[C:8]([C:7]([C:6]2([H:12])[H:13])([H:14])[H:15])([H:16])[H:17],[H:12][C:1]1=[N:5][N:4]2[C:3](=[C:2]1[C:10](=[O:11])[H:21])[C:9]([C:8]([C:7]([C:6]2([H:13])[H:14])([H:15])[H:16])([H:17])[H:18])([H:19])[H:20]
