train_smiles,test_smiles
[N+:1]([C@:2]([C:3]([O:4][H:19])([H:17])[H:18])([c:5]1[c:6]([H:20])[c:7]([H:21])[c:8]([H:22])[c:9]([I:10])[c:11]1[O:12][H:23])[H:16])([H:13])([H:14])[H:15],[N+:1]([C@@:2]([C:3]([O:4][H:19])([H:17])[H:18])([c:5]1[c:6]([H:20])[c:7]([H:21])[c:8]([H:22])[c:9]([I:10])[c:11]1[O:12][H:23])[H:16])([H:13])([H:14])[H:15]
[O:1]=[N+:2]([O-:3])[C@:4]([I:5])([C@@:6]([I:7])([C:8]([I:9])([H:12])[H:13])[H:11])[H:10],[O:1]=[N+:2]([O-:3])[C@@:4]([I:5])([C@@:6]([I:7])([C:8]([I:9])([H:12])[H:13])[H:11])[H:10]
[C:1](=[C:2]([I:3])[c:4]1[c:5]([H:14])[c:6]([H:15])[c:7]([I:8])[c:9]([H:16])[c:10]1[I:11])([H:12])[H:13],[C:1](=[C:2]([I:3])[c:4]1[c:5]([H:14])[c:6]([H:15])[c:7]([I:8])[c:9]([H:16])[c:10]1[I:11])([H:12])[H:13]
[H:17][C:3](=[O:4])[C:2]([H:16])([C:1]([H:13])([H:14])[H:15])[N:5]([H:18])[C:6]1=[N:7][C:8]([C:9]([C:10]([C:11]([C:12]1([H:27])[H:28])([H:25])[H:26])([H:23])[H:24])([H:21])[H:22])([H:19])[H:20],[H:17][C:3](=[O:4])[C:2]([H:16])([C:1]([H:13])([H:14])[H:15])[N:5]([H:18])[C:6]1=[N:7][C:8]([C:9]([C:10]([C:11]([C:12]1([H:27])[H:28])([H:25])[H:26])([H:23])[H:24])([H:21])[H:22])([H:19])[H:20]
[H:9][C:1]([H:10])([C:2]([H:11])([H:12])[S:3][S:4](=[O:5])(=[O:6])[O:7][H:13])[O:8][H:14],[H:9][C:1]([H:10])([C:2]([H:11])([H:12])[S:3][S:4](=[O:5])(=[O:6])[O:7][H:13])[O:8][H:14]
[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[N:3]([C:4]([H:13])([H:14])[C:5]([H:15])([H:16])[H:17])[C:6]([H:18])([H:19])[O:7][H:20],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[N:3]([C:4]([H:13])([H:14])[C:5]([H:15])([H:16])[H:17])[C:6]([H:18])([H:19])[O:7][H:20]
[H:12][C:1]([H:13])([C:2]([H:14])([H:15])[C:3]([H:16])([H:17])[S:4](=[O:5])[O-:6])[C:7]([H:18])([H:19])[C:8]([Cl:9])([Cl:10])[Cl:11],[H:12][C:1]([H:13])([C:2]([H:14])([H:15])[C:3]([H:16])([H:17])[S:4](=[O:5])[O-:6])[C:7]([H:18])([H:19])[C:8]([Cl:9])([Cl:10])[Cl:11]
[H:15][C:1](=[O:2])[C@:3]([H:16])([C@@:5]([H:18])([C@:7]1([C@@:12]([O:11][B:9]([O:8]1)[O:10][H:21])([H:22])[C:13]([H:23])([H:24])[O:14][H:25])[H:20])[O:6][H:19])[O:4][H:17],[H:15][C:1](=[O:2])[C@@:3]([H:16])([C@:5]([H:18])([C@:7]1([C@@:12]([O:11][B:9]([O:8]1)[O:10][H:21])([H:22])[C:13]([H:23])([H:24])[O:14][H:25])[H:20])[O:6][H:19])[O:4][H:17]
[H:8][C:1]1([C:2]([C:3]([S:4]1)([H:11])[H:12])([H:10])[C:5]([H:13])([H:14])[C:6]([H:15])([H:16])[O:7][H:17])[H:9],[H:8][C:1]1([C:2]([C:3]([S:4]1)([H:11])[H:12])([H:10])[C:5]([H:13])([H:14])[C:6]([H:15])([H:16])[O:7][H:17])[H:9]
[H:16][C:4]1([C:5]([O:6][C:2]([N+:3]1([H:14])[H:15])([C:1]([H:11])([H:12])[H:13])[C:10]([H:24])([H:25])[H:26])([H:18])[C:7]([H:19])([H:20])[C:8]([H:21])([H:22])[O:9][H:23])[H:17],[H:16][C:4]1([C:5]([O:6][C:2]([N+:3]1([H:14])[H:15])([C:1]([H:11])([H:12])[H:13])[C:10]([H:24])([H:25])[H:26])([H:18])[C:7]([H:19])([H:20])[C:8]([H:21])([H:22])[O:9][H:23])[H:17]
[N:1]([C@:2]([C:3]([C:4]1=[C:5]([I:6])[O:7][c:8]2[c:9]([H:22])[c:10]([H:23])[c:11]([H:24])[c:12]([H:25])[c:13]21)([H:20])[H:21])([B:14]([O:15][H:26])[O:16][H:27])[H:19])([H:17])[H:18],[N:1]([C@@:2]([C:3]([C:4]1=[C:5]([I:6])[O:7][c:8]2[c:9]([H:22])[c:10]([H:23])[c:11]([H:24])[c:12]([H:25])[c:13]21)([H:20])[H:21])([B:14]([O:15][H:26])[O:16][H:27])[H:19])([H:17])[H:18]
[H:17][C:4]1([C:3]([C:2]([C:7]([N+:6]([C:5]1([H:19])[H:20])([H:21])[H:22])([H:23])[C:8]([H:24])([H:25])[C:9]([H:26])([H:27])[O:10][H:28])([H:14])[C:1]([H:11])([H:12])[H:13])([H:15])[H:16])[H:18],[H:17][C:4]1([C:3]([C:2]([C:7]([N+:6]([C:5]1([H:19])[H:20])([H:21])[H:22])([H:23])[C:8]([H:24])([H:25])[C:9]([H:26])([H:27])[O:10][H:28])([H:14])[C:1]([H:11])([H:12])[H:13])([H:15])[H:16])[H:18]
[H:22][C:8]1([C:6](=[O:7])[N:5]([C:4]([C:3]([C:2]([C:1]([C:12]([C:11]([N+:10]([C:9]1([H:24])[H:25])([H:26])[H:27])([H:28])[H:29])([H:30])[H:31])([H:13])[H:14])([H:15])[H:16])([H:17])[H:18])([H:19])[H:20])[H:21])[H:23],[H:22][C:8]1([C:6](=[O:7])[N:5]([C:4]([C:3]([C:2]([C:1]([C:12]([C:11]([N+:10]([C:9]1([H:24])[H:25])([H:26])[H:27])([H:28])[H:29])([H:30])[H:31])([H:13])[H:14])([H:15])[H:16])([H:17])[H:18])([H:19])[H:20])[H:21])[H:23]
[H:15][C:5]1([C:6]([C:4]1([C:7]([H:19])([H:20])[C:8]([H:21])([H:22])[N:9]([H:23])[H:24])[C:3]([H:13])([H:14])[S:2][C:1]([H:10])([H:11])[H:12])([H:17])[H:18])[H:16],[H:15][C:5]1([C:6]([C:4]1([C:7]([H:19])([H:20])[C:8]([H:21])([H:22])[N:9]([H:23])[H:24])[C:3]([H:13])([H:14])[S:2][C:1]([H:10])([H:11])[H:12])([H:17])[H:18])[H:16]
[O:1](/[N+:2](=[C:3](\[C:4]1=[N:5][N:6]([H:13])[C:7]([H:14])=[C:8]1[I:9])[H:12])[H:11])[H:10],[O:1](/[N+:2](=[C:3](/[C:4]1=[N:5][N:6]([H:13])[C:7]([H:14])=[C:8]1[I:9])[H:12])[H:11])[H:10]
[H:13][C:1]([H:14])([H:15])[C:2]([H:16])([C:3]1=[N:7][O:6][C:5](=[N:4]1)[C:8]([H:17])([H:18])[N:9]([H:19])[C:10]([H:20])([H:21])[H:22])[O:11][C:12]([H:23])([H:24])[H:25],[H:13][C:1]([H:14])([H:15])[C:2]([H:16])([C:3]1=[N:7][O:6][C:5](=[N:4]1)[C:8]([H:17])([H:18])[N:9]([H:19])[C:10]([H:20])([H:21])[H:22])[O:11][C:12]([H:23])([H:24])[H:25]
[N:1](=[C:2](\[C:3]([I:4])([I:5])[I:6])[H:8])\[H:7],[N:1](=[C:2](/[C:3]([I:4])([I:5])[I:6])[H:8])\[H:7]
[H:25][C:8]1([C:9]([O:10][C:11]([N+:5]([C:6]([O:7]1)([H:23])[H:24])([H:22])[C:3]([H:18])([C:4]([H:19])([H:20])[H:21])[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])([H:28])[H:29])([H:27])[C:12]([H:30])([H:31])[H:32])[H:26],[H:25][C:8]1([C:9]([O:10][C:11]([N+:5]([C:6]([O:7]1)([H:23])[H:24])([H:22])[C:3]([H:18])([C:4]([H:19])([H:20])[H:21])[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])([H:28])[H:29])([H:27])[C:12]([H:30])([H:31])[H:32])[H:26]
[H:12][C:1]1=[C:5]([S:4][C:3](=[C:2]1[H:13])[S:6][C:7]2([C:8]([C:9]([N:10]([C:11]2([H:21])[H:22])[H:20])([H:18])[H:19])([H:16])[H:17])[H:15])[H:14],[H:12][C:1]1=[C:5]([S:4][C:3](=[C:2]1[H:13])[S:6][C:7]2([C:8]([C:9]([N:10]([C:11]2([H:21])[H:22])[H:20])([H:18])[H:19])([H:16])[H:17])[H:15])[H:14]
