train_smiles,test_smiles
[H:15][C:1](=[O:2])[C@@:3]([H:16])([C@:5]([H:18])([C@:7]1([C@@:12]([O:11][B:9]([O:8]1)[O:10][H:21])([H:22])[C:13]([H:23])([H:24])[O:14][H:25])[H:20])[O:6][H:19])[O:4][H:17],[H:15][C:1](=[O:2])[C@@:3]([H:16])([C@:5]([H:18])([C@:7]1([C@@:12]([O:11][B:9]([O:8]1)[O:10][H:21])([H:22])[C:13]([H:23])([H:24])[O:14][H:25])[H:20])[O:6][H:19])[O:4][H:17]
[H:20][C:11](=[O:12])[C:3]1=[N:4][C:5]([C:1]([C:2]1([H:15])[H:16])([H:13])[H:14])([H:17])[C:6]([H:18])([C:9]#[N:10])[C:7](=[O:8])[H:19],[H:20][C:11](=[O:12])[C:3]1=[N:4][C:5]([C:1]([C:2]1([H:15])[H:16])([H:13])[H:14])([H:17])[C:6]([H:18])([C:9]#[N:10])[C:7](=[O:8])[H:19]
[H:18][c:4]1[c:5]([c:6]([c:7]([c:8]([c:3]1[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])[H:21])[H:20])[C:9]([H:22])([C:10]([H:23])([H:24])[C:11]([H:25])([H:26])[H:27])[O:12][H:28])[H:19],[H:18][c:4]1[c:5]([c:6]([c:7]([c:8]([c:3]1[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])[H:21])[H:20])[C:9]([H:22])([C:10]([H:23])([H:24])[C:11]([H:25])([H:26])[H:27])[O:12][H:28])[H:19]
[C:1]1([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([H:17])([H:18])[C@:4]2([I:12])[C:5]([H:19])([H:20])[C:6]([H:21])=[C:7]([H:22])[C:8]([H:23])([H:24])[C@:9]2([N:11]([H:27])[H:28])[C:10]1([H:25])[H:26],[C:1]1([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([H:17])([H:18])[C@:4]2([I:12])[C:5]([H:19])([H:20])[C:6]([H:21])=[C:7]([H:22])[C:8]([H:23])([H:24])[C@@:9]2([N:11]([H:27])[H:28])[C:10]1([H:25])[H:26]
[H:20][C@:6]1([C:4](=[O:5])[N:3]([C@:2]1([H:18])[O:1][H:17])[H:19])[C@@:7]([H:21])([C:8]([H:22])([H:23])[H:24])[O:9][Si:10]([C:11]([H:25])([H:26])[H:27])([C:12]([H:28])([H:29])[H:30])[C:13]([C:14]([H:31])([H:32])[H:33])([C:15]([H:34])([H:35])[H:36])[C:16]([H:37])([H:38])[H:39],[H:20][C@:6]1([C:4](=[O:5])[N:3]([C@:2]1([H:18])[O:1][H:17])[H:19])[C@@:7]([H:21])([C:8]([H:22])([H:23])[H:24])[O:9][Si:10]([C:11]([H:25])([H:26])[H:27])([C:12]([H:28])([H:29])[H:30])[C:13]([C:14]([H:31])([H:32])[H:33])([C:15]([H:34])([H:35])[H:36])[C:16]([H:37])([H:38])[H:39]
[H:18][C:9]1=[C:10]([S:11][C:7](=[C:8]1[H:17])[C:4](=[N+:3]([H:15])[O:2][C:1]([H:12])([H:13])[H:14])[C:5](=[O:6])[H:16])[H:19],[H:18][C:9]1=[C:10]([S:11][C:7](=[C:8]1[H:17])[C:4](=[N+:3]([H:15])[O:2][C:1]([H:12])([H:13])[H:14])[C:5](=[O:6])[H:16])[H:19]
[H:18][C:6]1=[C:5]([S:9][C:8](=[N:7]1)[H:19])[C:4]([H:16])([H:17])[C:3]([H:14])([H:15])[N:2]([H:13])[C:1]([H:10])([H:11])[H:12],[H:18][C:6]1=[C:5]([S:9][C:8](=[N:7]1)[H:19])[C:4]([H:16])([H:17])[C:3]([H:14])([H:15])[N:2]([H:13])[C:1]([H:10])([H:11])[H:12]
[H:20][C:5]1([C:4]([N+:8]([C:7]([O:6]1)([H:22])[C:9]([H:25])([H:26])[C:10]([H:27])([H:28])[O:11][H:29])([H:23])[H:24])([H:19])[C:2]([H:15])([C:1]([H:12])([H:13])[H:14])[C:3]([H:16])([H:17])[H:18])[H:21],[H:20][C:5]1([C:4]([N+:8]([C:7]([O:6]1)([H:22])[C:9]([H:25])([H:26])[C:10]([H:27])([H:28])[O:11][H:29])([H:23])[H:24])([H:19])[C:2]([H:15])([C:1]([H:12])([H:13])[H:14])[C:3]([H:16])([H:17])[H:18])[H:21]
[H:15][C:2](=[N+:3]1[C:4]([C:5]([C:6]([C:7]([C:8]1([H:23])[H:24])([H:22])[C:9]([H:25])([H:26])[C:10](=[O:11])[H:27])([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])[C:1]([H:12])([H:13])[H:14],[H:15][C:2](=[N+:3]1[C:4]([C:5]([C:6]([C:7]([C:8]1([H:23])[H:24])([H:22])[C:9]([H:25])([H:26])[C:10](=[O:11])[H:27])([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])[C:1]([H:12])([H:13])[H:14]
[H:26][C:10]([H:27])([H:28])[C:9]([H:24])([H:25])[C:7](=[O:8])[C:5]([H:20])([C:6]([H:21])([H:22])[H:23])[C:4]([H:19])([C:3]([H:17])([H:18])[C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[N:11]([H:29])[H:30],[H:26][C:10]([H:27])([H:28])[C:9]([H:24])([H:25])[C:7](=[O:8])[C:5]([H:20])([C:6]([H:21])([H:22])[H:23])[C:4]([H:19])([C:3]([H:17])([H:18])[C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[N:11]([H:29])[H:30]
[H:13][C:1]1([C:2](=[N:3][N:4]([C:5]1([C:6]([H:16])([F:7])[F:8])[O:9][H:17])[H:15])[C:10]([H:18])([F:11])[F:12])[H:14],[H:13][C:1]1([C:2](=[N:3][N:4]([C:5]1([C:6]([H:16])([F:7])[F:8])[O:9][H:17])[H:15])[C:10]([H:18])([F:11])[F:12])[H:14]
[H:17][C:1](=[O:2])[C@:3]1([C@:15]([C@:13]([C@:11]([C@:5]([O:4]1)([H:19])[O:6][Si:7]([C:8]([H:20])([H:21])[H:22])([O:9][H:23])[O:10][H:24])([H:25])[O:12][H:26])([H:27])[O:14][H:28])([H:29])[O:16][H:30])[H:18],[H:17][C:1](=[O:2])[C@:3]1([C@@:15]([C@:13]([C@:11]([C@:5]([O:4]1)([H:19])[O:6][Si:7]([C:8]([H:20])([H:21])[H:22])([O:9][H:23])[O:10][H:24])([H:25])[O:12][H:26])([H:27])[O:14][H:28])([H:29])[O:16][H:30])[H:18]
[H:16][C:6]#[C:5][C:4]([H:15])([O:3][C:2]([H:13])([H:14])[C:1]([H:10])([H:11])[H:12])[O:7][C:8]([H:17])([H:18])[C:9]([H:19])([H:20])[H:21],[H:16][C:6]#[C:5][C:4]([H:15])([O:3][C:2]([H:13])([H:14])[C:1]([H:10])([H:11])[H:12])[O:7][C:8]([H:17])([H:18])[C:9]([H:19])([H:20])[H:21]
[H:19][C:5](=[O:6])[C:4]([H:17])([H:18])[N:3]([C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[C:7]([H:20])([H:21])[C:8]([H:22])([C:10]#[N:11])[C:9]([H:23])([H:24])[H:25],[H:19][C:5](=[O:6])[C:4]([H:17])([H:18])[N:3]([C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[C:7]([H:20])([H:21])[C:8]([H:22])([C:10]#[N:11])[C:9]([H:23])([H:24])[H:25]
[H:13][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[F:7])[H:16])[H:15])[S:8][C:9]([H:17])([H:18])[C:10]([H:19])([F:11])[F:12])[H:14],[H:13][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[F:7])[H:16])[H:15])[S:8][C:9]([H:17])([H:18])[C:10]([H:19])([F:11])[F:12])[H:14]
[H:11][C:1]([H:12])([H:13])[C:2]([H:14])([H:15])[C:3]([H:16])([H:17])[C:4]([H:18])([H:19])[C:5]([H:20])([H:21])[O:6][N:7]=[C:8]([N:9]([H:22])[H:23])[N:10]([H:24])[H:25],[H:11][C:1]([H:12])([H:13])[C:2]([H:14])([H:15])[C:3]([H:16])([H:17])[C:4]([H:18])([H:19])[C:5]([H:20])([H:21])[O:6][N:7]=[C:8]([N:9]([H:22])[H:23])[N:10]([H:24])[H:25]
[H:9][C:1](=[C:2]([H:11])[C:3]([H:12])([H:13])[O:4][N:5]=[C:6]([H:14])[C:7](=[O:8])[H:15])[H:10],[H:9][C:1](=[C:2]([H:11])[C:3]([H:12])([H:13])[O:4][N:5]=[C:6]([H:14])[C:7](=[O:8])[H:15])[H:10]
[H:19][C:6]1([C:7]([N+:8]([C:9]([C:10]([C:5]1([H:18])[C:4]([H:16])([H:17])[N:3]=[S:2](=[O:11])([C:1]([H:13])([H:14])[H:15])[C:12]([H:29])([H:30])[H:31])([H:27])[H:28])([H:25])[H:26])([H:23])[H:24])([H:21])[H:22])[H:20],[H:19][C:6]1([C:7]([N+:8]([C:9]([C:10]([C:5]1([H:18])[C:4]([H:16])([H:17])[N:3]=[S:2](=[O:11])([C:1]([H:13])([H:14])[H:15])[C:12]([H:29])([H:30])[H:31])([H:27])[H:28])([H:25])[H:26])([H:23])[H:24])([H:21])[H:22])[H:20]
[H:20][C@@:3]1([C@:12]([O:15][C:1]([C:2]1([H:18])[H:19])([H:16])[H:17])([H:36])[C:13]([H:37])([H:38])[O:14][H:39])[O:4][Si:5]([C:6]([H:21])([H:22])[H:23])([C:7]([H:24])([H:25])[H:26])[C:8]([C:9]([H:27])([H:28])[H:29])([C:10]([H:30])([H:31])[H:32])[C:11]([H:33])([H:34])[H:35],[H:20][C@@:3]1([C@@:12]([O:15][C:1]([C:2]1([H:18])[H:19])([H:16])[H:17])([H:36])[C:13]([H:37])([H:38])[O:14][H:39])[O:4][Si:5]([C:6]([H:21])([H:22])[H:23])([C:7]([H:24])([H:25])[H:26])[C:8]([C:9]([H:27])([H:28])[H:29])([C:10]([H:30])([H:31])[H:32])[C:11]([H:33])([H:34])[H:35]
[H:13][C:1]1([C:2]([C:3]1([H:17])[C:4]2([C:5]([C:6]([C:7]([O:8]2)([H:23])[C:9]([H:24])([H:25])[S:10](=[O:11])[O-:12])([H:21])[H:22])([H:19])[H:20])[H:18])([H:15])[H:16])[H:14],[H:13][C:1]1([C:2]([C:3]1([H:17])[C:4]2([C:5]([C:6]([C:7]([O:8]2)([H:23])[C:9]([H:24])([H:25])[S:10](=[O:11])[O-:12])([H:21])[H:22])([H:19])[H:20])[H:18])([H:15])[H:16])[H:14]
[H:22][C:7](=[O:8])[C:6]([H:20])([H:21])[N+:5]([H:18])([H:19])[C:4]([H:16])([H:17])[C:3]([H:14])([H:15])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11],[H:22][C:7](=[O:8])[C:6]([H:20])([H:21])[N+:5]([H:18])([H:19])[C:4]([H:16])([H:17])[C:3]([H:14])([H:15])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11]
[H:13][C:1]([H:14])([H:15])[C:2]1=[C:3]([N:4]([C:5](=[N:6][C:7]1=[O:8])[C:9]([H:17])([H:18])[C:10]([H:19])([H:20])[N:11]([H:21])[H:22])[H:16])[O:12][H:23],[H:13][C:1]([H:14])([H:15])[C:2]1=[C:3]([N:4]([C:5](=[N:6][C:7]1=[O:8])[C:9]([H:17])([H:18])[C:10]([H:19])([H:20])[N:11]([H:21])[H:22])[H:16])[O:12][H:23]
[H:9][C:1](=[C:2]1[C:3]([C:4]1([C:5]([H:13])([H:14])[O:6][H:15])[C:7]([H:16])([H:17])[F:8])([H:11])[H:12])[H:10],[H:9][C:1](=[C:2]1[C:3]([C:4]1([C:5]([H:13])([H:14])[O:6][H:15])[C:7]([H:16])([H:17])[F:8])([H:11])[H:12])[H:10]
[H:12][C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([H:17])([H:18])[C:4]([H:19])([H:20])[C:5]([H:21])([H:22])[N:6]=[C:7]([N:8]([H:23])[H:24])[N:9]([H:25])[C:10]#[N:11],[H:12][C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([H:17])([H:18])[C:4]([H:19])([H:20])[C:5]([H:21])([H:22])[N:6]=[C:7]([N:8]([H:23])[H:24])[N:9]([H:25])[C:10]#[N:11]
[H:10][C:1]([H:11])([H:12])[C:2]([H:13])([H:14])[C:3]([H:15])([H:16])[C:4]([H:17])([O:5][H:18])[O:6][N+:7](=[O:8])[O-:9],[H:10][C:1]([H:11])([H:12])[C:2]([H:13])([H:14])[C:3]([H:15])([H:16])[C:4]([H:17])([O:5][H:18])[O:6][N+:7](=[O:8])[O-:9]
[O:1]=[C:2](/[C:3](=[N:4]\[O:5][H:14])[H:13])[C@:6]1([H:15])[C:7]([H:16])([H:17])[C:8]([H:18])([H:19])[C:9]([H:20])([H:21])[C:10]([H:22])([H:23])[C@:11]1([I:12])[H:24],[O:1]=[C:2](/[C:3](=[N:4]/[O:5][H:14])[H:13])[C@@:6]1([H:15])[C:7]([H:16])([H:17])[C:8]([H:18])([H:19])[C:9]([H:20])([H:21])[C:10]([H:22])([H:23])[C@@:11]1([I:12])[H:24]
[H:13][C:1]([H:14])([H:15])[C:2]([H:16])([H:17])[C:3]([H:18])([C:5]1=[N:9][N:8]=[C:7]([N:6]1[H:22])[C:10]([H:23])([C:11]([H:24])([H:25])[H:26])[N+:12]([H:27])([H:28])[H:29])[C:4]([H:19])([H:20])[H:21],[H:13][C:1]([H:14])([H:15])[C:2]([H:16])([H:17])[C:3]([H:18])([C:5]1=[N:9][N:8]=[C:7]([N:6]1[H:22])[C:10]([H:23])([C:11]([H:24])([H:25])[H:26])[N+:12]([H:27])([H:28])[H:29])[C:4]([H:19])([H:20])[H:21]
[H:17][C:11]1=[C:7]([C:5](=[O:6])[C:3](=[C:2]([N:1]1[H:12])[H:13])[O:4][H:14])[B:8]([O:9][H:15])[O:10][H:16],[H:17][C:11]1=[C:7]([C:5](=[O:6])[C:3](=[C:2]([N:1]1[H:12])[H:13])[O:4][H:14])[B:8]([O:9][H:15])[O:10][H:16]
[H:13][C:1]([H:14])([H:15])[C:2]([C:3]([H:16])([H:17])[H:18])([C:4]([H:19])([H:20])[H:21])[C:5]([H:22])([H:23])[C:6]([C:7]([H:24])([H:25])[H:26])([C:8]([H:27])([H:28])[H:29])[N:9]([H:30])[C:10](=[S:11])[N:12]([H:31])[H:32],[H:13][C:1]([H:14])([H:15])[C:2]([C:3]([H:16])([H:17])[H:18])([C:4]([H:19])([H:20])[H:21])[C:5]([H:22])([H:23])[C:6]([C:7]([H:24])([H:25])[H:26])([C:8]([H:27])([H:28])[H:29])[N:9]([H:30])[C:10](=[S:11])[N:12]([H:31])[H:32]
[H:11][C:1]1=[N:5][O:4][C:3](=[C:2]1[C:9]([H:17])([H:18])[O:10][H:19])[C:6]2([C:7]([C:8]2([H:15])[H:16])([H:13])[H:14])[H:12],[H:11][C:1]1=[N:5][O:4][C:3](=[C:2]1[C:9]([H:17])([H:18])[O:10][H:19])[C:6]2([C:7]([C:8]2([H:15])[H:16])([H:13])[H:14])[H:12]
[H:15][C:1](=[O:2])[C@@:3]([H:16])([C@@:5]([H:18])([C@:7]1([C@@:12]([O:11][B:9]([O:8]1)[O:10][H:21])([H:22])[C:13]([H:23])([H:24])[O:14][H:25])[H:20])[O:6][H:19])[O:4][H:17],[H:15][C:1](=[O:2])[C@@:3]([H:16])([C@:5]([H:18])([C@:7]1([C@@:12]([O:11][B:9]([O:8]1)[O:10][H:21])([H:22])[C:13]([H:23])([H:24])[O:14][H:25])[H:20])[O:6][H:19])[O:4][H:17]
[H:22][C:11]1=[C:12]([C:7]([C:8]([C:9]([C:10]1([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])([H:15])[S:6][C:3]2=[N:4][N:5]=[C:1]([N:2]2[H:14])[H:13])[H:23],[H:22][C:11]1=[C:12]([C:7]([C:8]([C:9]([C:10]1([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])([H:15])[S:6][C:3]2=[N:4][N:5]=[C:1]([N:2]2[H:14])[H:13])[H:23]
[H:11][C:1]1=[C:2]([S:3][C:4](=[N:5]1)[N:6]([H:12])[H:13])[C:7]([H:14])([C:8]([H:15])([H:16])[O:9][H:17])[O:10][H:18],[H:11][C:1]1=[C:2]([S:3][C:4](=[N:5]1)[N:6]([H:12])[H:13])[C:7]([H:14])([C:8]([H:15])([H:16])[O:9][H:17])[O:10][H:18]
[H:10][C:1]([H:11])([H:12])[C:2]([H:13])([C:3]([H:14])([H:15])[H:16])[C:4]([H:17])([H:18])[C:5]([C:6]([H:19])([H:20])[H:21])([C:7]([H:22])([H:23])[N:8]([H:24])[H:25])[N:9]([H:26])[H:27],[H:10][C:1]([H:11])([H:12])[C:2]([H:13])([C:3]([H:14])([H:15])[H:16])[C:4]([H:17])([H:18])[C:5]([C:6]([H:19])([H:20])[H:21])([C:7]([H:22])([H:23])[N:8]([H:24])[H:25])[N:9]([H:26])[H:27]
[H:19][C:8]1([C:9]([O:10][C:6]([O:7]1)([H:18])[C:5]([H:16])([H:17])[C:3](=[O:4])[C:2]([H:15])([C:1]([H:12])([H:13])[H:14])[N:11]([H:23])[H:24])([H:21])[H:22])[H:20],[H:19][C:8]1([C:9]([O:10][C:6]([O:7]1)([H:18])[C:5]([H:16])([H:17])[C:3](=[O:4])[C:2]([H:15])([C:1]([H:12])([H:13])[H:14])[N:11]([H:23])[H:24])([H:21])[H:22])[H:20]
[H:27][C:10]1=[C:9]([C:8]([C:7]([N+:6]([C:11]1([H:28])[H:29])([H:22])[C:5]([H:20])([H:21])[C:4]([H:18])([H:19])[O:3][C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])([H:23])[H:24])([H:25])[H:26])[C:12]([H:30])([H:31])[H:32],[H:27][C:10]1=[C:9]([C:8]([C:7]([N+:6]([C:11]1([H:28])[H:29])([H:22])[C:5]([H:20])([H:21])[C:4]([H:18])([H:19])[O:3][C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])([H:23])[H:24])([H:25])[H:26])[C:12]([H:30])([H:31])[H:32]
[H:19][C:4]1([C:3]([N+:2]([C:7]([C:6]([C:5]1([H:21])[C:8]([H:26])([H:27])[N+:9](=[C:10]([N:11]([H:29])[H:30])[N:12]([H:31])[H:32])[H:28])([H:22])[H:23])([H:24])[H:25])([H:16])[C:1]([H:13])([H:14])[H:15])([H:17])[H:18])[H:20],[H:19][C:4]1([C:3]([N+:2]([C:7]([C:6]([C:5]1([H:21])[C:8]([H:26])([H:27])[N+:9](=[C:10]([N:11]([H:29])[H:30])[N:12]([H:31])[H:32])[H:28])([H:22])[H:23])([H:24])[H:25])([H:16])[C:1]([H:13])([H:14])[H:15])([H:17])[H:18])[H:20]
[H:11][C:1](=[C:2]([H:13])[C:3]([H:14])([H:15])[C:4]1([C:5]([C:6]([N:7]1[H:20])([H:18])[H:19])([H:16])[H:17])[C:8]([H:21])([H:22])[C:9](=[C:10]([H:24])[H:25])[H:23])[H:12],[H:11][C:1](=[C:2]([H:13])[C:3]([H:14])([H:15])[C:4]1([C:5]([C:6]([N:7]1[H:20])([H:18])[H:19])([H:16])[H:17])[C:8]([H:21])([H:22])[C:9](=[C:10]([H:24])[H:25])[H:23])[H:12]
[H:14][C:3](=[O:4])[C:2]([H:13])([C:5](=[N:6][H:15])[C:7]([H:16])([H:17])[C:8]#[N:9])[C:1]([H:10])([H:11])[H:12],[H:14][C:3](=[O:4])[C:2]([H:13])([C:5](=[N:6][H:15])[C:7]([H:16])([H:17])[C:8]#[N:9])[C:1]([H:10])([H:11])[H:12]
[H:20][C:6](=[O:7])[C:5]([H:18])([H:19])[C:4]([C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[O:3][H:17])([C:8]([F:9])([F:10])[F:11])[O:12][H:21],[H:20][C:6](=[O:7])[C:5]([H:18])([H:19])[C:4]([C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[O:3][H:17])([C:8]([F:9])([F:10])[F:11])[O:12][H:21]
[H:17][C:4]1=[N:5][C:1]([C:2]([C:3]1([H:16])[N+:6]([H:18])([H:19])[N:7]([H:20])[C:8](=[O:9])[N:10]([H:21])[H:22])([H:15])[C:11](=[O:12])[H:23])([H:13])[H:14],[H:17][C:4]1=[N:5][C:1]([C:2]([C:3]1([H:16])[N+:6]([H:18])([H:19])[N:7]([H:20])[C:8](=[O:9])[N:10]([H:21])[H:22])([H:15])[C:11](=[O:12])[H:23])([H:13])[H:14]
[H:19][C:1](=[O:2])[C@:3]1([C@:12]([C@@:11]2([C@:6]([C:5]1([H:22])[H:23])([C@:7]([N:9]([C:10]2([H:30])[H:31])[H:29])([H:25])[C:8]([H:26])([H:27])[H:28])[H:24])[H:32])([H:33])[C:13]([H:34])([H:35])[C:14]([H:36])([H:37])[C:15]([H:38])([H:39])[B:16]([O:17][H:40])[O:18][H:41])[N:4]([H:20])[H:21],[H:19][C:1](=[O:2])[C@:3]1([C@:12]([C@:11]2([C@@:6]([C:5]1([H:22])[H:23])([C@:7]([N:9]([C:10]2([H:30])[H:31])[H:29])([H:25])[C:8]([H:26])([H:27])[H:28])[H:24])[H:32])([H:33])[C:13]([H:34])([H:35])[C:14]([H:36])([H:37])[C:15]([H:38])([H:39])[B:16]([O:17][H:40])[O:18][H:41])[N:4]([H:20])[H:21]
[H:26][C:11](=[C:10]([H:25])[C:2]1([C:3]([C:4]([C:5]([C:6]([O:7]1)([H:21])[O:8][C:9]([H:22])([H:23])[H:24])([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[C:1]([H:12])([H:13])[H:14])[H:27],[H:26][C:11](=[C:10]([H:25])[C:2]1([C:3]([C:4]([C:5]([C:6]([O:7]1)([H:21])[O:8][C:9]([H:22])([H:23])[H:24])([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[C:1]([H:12])([H:13])[H:14])[H:27]
[H:11][C:1]([H:12])([H:13])[O:2][C:3]([H:14])([H:15])[C:4]([H:16])([C:5]1=[N:9][N:8]=[N:7][N:6]1[H:17])[N:10]([H:18])[H:19],[H:11][C:1]([H:12])([H:13])[O:2][C:3]([H:14])([H:15])[C:4]([H:16])([C:5]1=[N:9][N:8]=[N:7][N:6]1[H:17])[N:10]([H:18])[H:19]
[H:13][C:1]([H:14])([C:2]([H:15])([H:16])[F:3])[C:4]([H:17])([H:18])[S+:5](=[O:6])([C:7]1=[N:11][N:10]=[N:9][N:8]1[H:19])[O:12][H:20],[H:13][C:1]([H:14])([C:2]([H:15])([H:16])[F:3])[C:4]([H:17])([H:18])[S+:5](=[O:6])([C:7]1=[N:11][N:10]=[N:9][N:8]1[H:19])[O:12][H:20]
[H:18][C:4]1=[C:3]([N:7]=[C:6]([N:5]1[C:11]([H:24])([H:25])[C:12]([H:26])([H:27])[H:28])[C:8]([H:19])([H:20])[C:9]([H:21])([H:22])[O:10][H:23])[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15],[H:18][C:4]1=[C:3]([N:7]=[C:6]([N:5]1[C:11]([H:24])([H:25])[C:12]([H:26])([H:27])[H:28])[C:8]([H:19])([H:20])[C:9]([H:21])([H:22])[O:10][H:23])[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15]
[H:13][C:1]1=[C:2]([N:3]=[C:4]([S:5]1)[H:14])[C:6]([H:15])([H:16])[S:7][C:8]2=[N:12][C:11](=[N:10][N:9]2[H:17])[H:18],[H:13][C:1]1=[C:2]([N:3]=[C:4]([S:5]1)[H:14])[C:6]([H:15])([H:16])[S:7][C:8]2=[N:12][C:11](=[N:10][N:9]2[H:17])[H:18]
[N:1](=[C:2]1/[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])=[N:6][C@:7]1([I:8])[H:15])\[H:9],[N:1](=[C:2]1/[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])=[N:6][C@@:7]1([I:8])[H:15])\[H:9]
[H:12][C:1]([H:13])([C:2]1=[C:3]([N:4]([N:5]=[C:6]1[Cl:7])[H:14])[C:8]([H:15])([F:9])[F:10])[O:11][H:16],[H:12][C:1]([H:13])([C:2]1=[C:3]([N:4]([N:5]=[C:6]1[Cl:7])[H:14])[C:8]([H:15])([F:9])[F:10])[O:11][H:16]
[H:1][C:2](=[C:4]([H:5])[C:6]([H:7])([H:8])[N+:9]([H:10])([H:11])[C:12]([H:13])([C:17]([Br:18])([Br:19])[Br:20])[N:14]([H:15])[H:16])[H:3],[H:1][C:2](=[C:4]([H:5])[C:6]([H:7])([H:8])[N+:9]([H:10])([H:11])[C:12]([H:13])([C:17]([Br:18])([Br:19])[Br:20])[N:14]([H:15])[H:16])[H:3]
[H:20][C@:6]1([C:4](=[O:5])[N:3]([C@@:2]1([H:18])[O:1][H:17])[H:19])[C@:7]([H:21])([C:8]([H:22])([H:23])[H:24])[O:9][Si:10]([C:11]([H:25])([H:26])[H:27])([C:12]([H:28])([H:29])[H:30])[C:13]([C:14]([H:31])([H:32])[H:33])([C:15]([H:34])([H:35])[H:36])[C:16]([H:37])([H:38])[H:39],[H:20][C@:6]1([C:4](=[O:5])[N:3]([C@:2]1([H:18])[O:1][H:17])[H:19])[C@@:7]([H:21])([C:8]([H:22])([H:23])[H:24])[O:9][Si:10]([C:11]([H:25])([H:26])[H:27])([C:12]([H:28])([H:29])[H:30])[C:13]([C:14]([H:31])([H:32])[H:33])([C:15]([H:34])([H:35])[H:36])[C:16]([H:37])([H:38])[H:39]
[H:10][C:1]#[C:2][C:3]([H:11])([H:12])[C:4]1([C:5]([C:6]([C:7]1([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])[C:8]([H:19])([H:20])[O:9][H:21],[H:10][C:1]#[C:2][C:3]([H:11])([H:12])[C:4]1([C:5]([C:6]([C:7]1([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])[C:8]([H:19])([H:20])[O:9][H:21]
[H:19][C:6](=[C:5]([H:18])[C:4]([H:16])([H:17])[C:3]([C:7]([H:21])([H:22])[C:8](=[C:9]([H:24])[H:25])[H:23])([C:2]([H:15])([C:1]([H:12])([H:13])[H:14])[N:11]([H:27])[H:28])[O:10][H:26])[H:20],[H:19][C:6](=[C:5]([H:18])[C:4]([H:16])([H:17])[C:3]([C:7]([H:21])([H:22])[C:8](=[C:9]([H:24])[H:25])[H:23])([C:2]([H:15])([C:1]([H:12])([H:13])[H:14])[N:11]([H:27])[H:28])[O:10][H:26])[H:20]
[H:12][C:1]1=[N:5][C:4](=[C:3]([N:2]1[H:13])[C:10](=[O:11])[H:19])[C:6](=[N:7][H:14])[N:8]([H:15])[N+:9]([H:16])([H:17])[H:18],[H:12][C:1]1=[N:5][C:4](=[C:3]([N:2]1[H:13])[C:10](=[O:11])[H:19])[C:6](=[N:7][H:14])[N:8]([H:15])[N+:9]([H:16])([H:17])[H:18]
[H:10][C:1]([H:11])([H:12])[C:2]([H:13])([H:14])[C:3]([H:15])([H:16])[N+:4]([H:17])([H:18])[C:5]([H:19])([H:20])[C:6]([C:7]([H:21])([H:22])[H:23])([C:8]([H:24])([H:25])[H:26])[N:9]([H:27])[H:28],[H:10][C:1]([H:11])([H:12])[C:2]([H:13])([H:14])[C:3]([H:15])([H:16])[N+:4]([H:17])([H:18])[C:5]([H:19])([H:20])[C:6]([C:7]([H:21])([H:22])[H:23])([C:8]([H:24])([H:25])[H:26])[N:9]([H:27])[H:28]
[H:8][C:2]1([C:3]([C:4]([C:5]([C:1]1([H:6])[H:7])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9],[H:4][C:1]1([C:2]([C:3]1([H:8])[H:9])([H:6])[H:7])[H:5]
